date,value,normalized_value,sample_normalized_value,first_difference,second_difference,importance,privacy_budget,perturbed_value
2007-10-04,26973.9805,1.4170668033795621,1.4170668033795621,505.9589999999989,213.85150000000067,0.21259620960487235,0.0002539434862263496,1.1505052493885466
2007-10-05,27831.5195,1.5239449785298296,1.5239449785298296,857.538999999997,351.5799999999981,0.3571135963718684,0.0004265676787467209,1.557467386755563
2007-10-08,27770.2891,1.5163136131741775,1.5163136131741775,61.230399999996735,796.3086000000003,0.2532743562206332,0.0003025330183917253,1.6972826345775984
2007-10-09,28228.0391,1.5733646448765666,1.5733646448765666,457.75,396.51960000000327,0.25230873812020144,0.00030137959977131497,1.2612990590105522
2007-10-10,28569.3301,1.6159009718252064,1.6159009718252064,341.29099999999744,116.45900000000256,0.13519657596913406,0.00016149060179048734,1.642011302305935
2007-10-11,29133.0195,1.686155612632854,1.686155612632854,563.6893999999993,222.39840000000186,0.2321712265889888,0.00027732559668412987,1.382013804749087
2007-10-12,28838.3691,1.6494322717010756,1.6494322717010756,294.6503999999986,269.03900000000067,0.16648580401987004,0.00019886518935864256,1.6204072363176083
2007-10-15,29540.7793,1.7369761856022912,1.7369761856022912,702.4101999999984,407.7597999999998,0.327888984693945,0.000391659249349525,2.031251140712906
2007-10-16,28954.5508,1.6639124155567555,1.6639124155567555,586.2284999999974,116.181700000001,0.2074570266866072,0.00024780479716390245,1.5961995117158079
2007-10-17,29298.7109,1.7068063287753186,1.7068063287753186,344.1600999999973,242.0684000000001,0.17314273279196324,0.00020681680666681445,1.622398608828062
2007-10-18,29465.0508,1.727537869809229,1.727537869809229,166.33990000000267,177.82019999999466,0.10164777084695667,0.00012141697796018323,1.6639556195428915
2007-10-22,28373.6309,1.5915102754552837,1.5915102754552837,1091.4199000000008,1091.4199000000008,0.6447022760221729,0.0007700887229147511,1.2655395292576122
2007-10-23,29376.8594,1.716546257887267,1.716546257887267,1003.2285000000011,88.1913999999997,0.32235113801108645,0.00038504436145737555,1.5261915579991046
2007-10-24,29333.5293,1.711145871412624,1.711145871412624,43.33010000000286,959.8983999999982,0.2963037861598046,0.0003539311287785213,1.7231886728150523
2007-10-25,29854.4902,1.7760751053211008,1.7760751053211008,520.9609000000019,477.630799999999,0.29493430613041366,0.0003522953021867525,2.457534577981724
2007-10-26,30405.2207,1.844714631732838,1.844714631732838,550.7305000000015,29.769599999999627,0.1714508484319827,0.00020479587217572533,1.7223935651436277
2007-10-29,31586.9004,1.9919916301528695,1.9919916301528695,1181.679699999997,630.9491999999955,0.535360394937623,0.0006394812274906126,1.803314492612691
2007-10-30,31638.2207,1.9983878640409662,1.9983878640409662,51.320300000003044,1130.359399999994,0.34900939231509154,0.0004168873093972738,1.7692710404274117
2007-10-31,31352.5801,1.9627874469441022,1.9627874469441022,285.64060000000245,234.3202999999994,0.15357058070525303,0.00018343811829278804,1.8901284466864041
2007-11-01,31492.8809,1.9802736411301658,1.9802736411301658,140.3008000000009,145.33980000000156,0.08436402201588065,0.00010077175836110602,1.880872615685295
2007-11-02,30468.3398,1.8525813925741843,1.8525813925741843,1024.5410999999986,884.2402999999977,0.5637590596473393,0.0006734030736701001,2.395337109498547
2007-11-05,28942.3203,1.6623880842771572,1.6623880842771572,1526.0195000000022,501.4784000000036,0.5988220073503234,0.0007152853216820322,2.4137100263643663
2007-11-06,29438.1309,1.7241827456839964,1.7241827456839964,495.8106000000007,1030.2089000000014,0.4507102376015954,0.0005383676841049023,1.7049308986623044
2007-11-07,29708.9297,1.7579333757741524,1.7579333757741524,270.7988000000005,225.01180000000022,0.14643778361376744,0.00017491808228968376,1.7872592914389862
2007-11-08,28760.2207,1.6396923550524882,1.6396923550524882,948.7089999999989,677.9101999999984,0.48042238393370124,0.0005738584674865335,1.3441821565837546
2007-11-09,28783.4102,1.6425825459856664,1.6425825459856664,23.18949999999677,925.5195000000022,0.2802014383202645,0.00033469707773686795,1.838831832280277
2007-11-12,27665.7305,1.5032820981477275,1.5032820981477275,1117.679699999997,1094.4902000000002,0.653364928327649,0.0007804361516412929,1.58432810296654
2007-11-13,27803.3496,1.520434062401041,1.520434062401041,137.6190999999999,980.0605999999971,0.3301069764504829,0.00039430861247845083,1.1538047762624446
2007-11-14,29166.0098,1.690267312580798,1.690267312580798,1362.6601999999984,1225.0410999999986,0.7642782204060657,0.0009129206776428749,-0.2571242178795221
2007-11-15,28751.2109,1.6385694312175731,1.6385694312175731,414.7989000000016,947.8612999999968,0.40246202785235435,0.0004807358071741029,0.9277805563525107
2007-11-16,27614.4297,1.4968882946148865,1.4968882946148865,1136.7811999999976,721.982299999996,0.5489862604836759,0.0006557571517229743,1.5836215790246804
2007-11-19,27460.1699,1.4776623399667068,1.4776623399667068,154.2597999999998,982.5213999999978,0.3357486092104491,0.00040104747152837133,0.5955742782357034
